motor_id,x,y,z
p1,1873.701,-891.022,-478.36
p2,1951.358,-903.78,-474.195
p3,1979.558,-879.819,-479.784
p4,1893.094,-883.662,-489.511
p5,1925.162,-956.833,-488.133
p6,2004.036,-954.87,-472.916
p7,1930.814,-960.366,-487.001
p8,1994.341,-835.304,-468.707
p9,1960.52,-826.562,-474.78
p10,2009.666,-905.785,-480.746
p11,2032.736,-862.609,-480.019
p12,2025.864,-954.404,-480.918
p13,2017.716,-989.57,-474.765
p14,1943.462,-861.219,-490.7
p15,1946.564,-855.182,-487.657
p16,1952.911,-869.094,-485.061
p17,1888.84,-932.318,-487.833
p18,2029.709,-935.373,-477.004
p19,1870.408,-869.003,-485.604
p20,1960.2,-953.959,-491.455
p21,2031.289,-951.835,-486.889
p22,1981.928,-982.265,-477.447
p23,2014.219,-900.804,-497.767
p24,1947.004,-839.775,-496.193
p25,1952.116,-835.929,-486.405
p26,2020.792,-845.663,-496.054
p27,1997.899,-936.548,-495.466
p28,2015.445,-928.914,-476.494
p29,2020.315,-915.078,-480.11
p30,1976.241,-833.157,-488.922
p31,1969.313,-907.875,-471.346
p32,2000.93,-898.697,-488.837
p33,1929.719,-938.143,-478.482
p34,1993.74,-980.487,-489.618
p35,1910.895,-982.934,-478.629
p36,1894.518,-902.591,-493.826
p37,1969.369,-852.318,-474.739
p38,1975.075,-982.416,-482.809
p39,1973.024,-990.186,-494.175
p40,1944.944,-1006.954,-480.853
p41,2034.815,-928.458,-492.998
p42,1952.396,-972.644,-497.947
p43,2016.72,-843.586,-474.371
p44,2009.621,-989.307,-467.179
p45,1878.089,-876.033,-497.698
p46,2040.441,-950.058,-478.755
p47,1945.109,-889.679,-497.109
p48,1984.899,-869.291,-475.09
p49,1922.222,-908.946,-482.792
p50,1947.138,-892.985,-489.686
p51,2009.599,-962.336,-477.369
p52,1961.845,-959.022,-495.523
p53,1986.857,-925.799,-474.915
p54,1990.674,-954.088,-483.269
p55,1989.845,-1008.528,-484.025
p56,1983.957,-989.983,-493.104
p57,1963.808,-880.594,-487.551
p58,2047.751,-920.175,-475.979
p59,1962.343,-955.591,-478.16
p60,1941.468,-911.618,-494.323
p61,1902.408,-993.692,-477.155
p62,1976.338,-910.542,-484.452
p63,2014.527,-931.122,-478.187
p64,1859.935,-915.642,-495.534
p65,1913.968,-916.109,-482.824
p66,1984.195,-957.461,-498.802
p67,1970.922,-827.19,-496.595
p68,1948.377,-875.67,-479.349
p69,1950.077,-976.597,-477.329
p70,2003.187,-849.904,-491.061
p71,1934.907,-897.644,-484.723
p72,1908.483,-898.589,-499.792
p73,1925.485,-850.735,-482.997
p74,1953.82,-939.936,-498.095
p75,1967.499,-1011.402,-489.124
p76,1893.478,-865.98,-490.835
p77,2017.715,-977.898,-477.704
p78,2032.771,-953.998,-497.205
p79,2004.986,-976.016,-477.905
p80,1867.907,-877.828,-498.956
p81,1938.096,-896.873,-486.983
p82,1988.245,-967.135,-473.75
p83,1971.757,-983.933,-483.708
p84,1973.044,-947.325,-479.403
p85,1927.394,-945.122,-490.78
p86,1981.975,-962.679,-490.813
p87,1994.394,-945.242,-491.825
p88,1898.238,-979.726,-489.899
p89,1980.803,-966.251,-477.453
p90,1920.986,-904.322,-484.232
p91,2001.499,-992.272,-498.012
p92,1989.786,-863.265,-485.797
p93,1985.123,-860.699,-477.488
p94,1950.664,-983.189,-493.796
p95,2002.299,-847.98,-479.462
p96,1894.41,-922.484,-475.029
p97,1896.523,-941.944,-489.621
p98,1998.84,-923.595,-484.117
p99,1970.299,-1017.092,-478.11
p100,1871.794,-960.2,-498.801
p101,1932.163,-878.867,-492.158
p102,1906.805,-941.26,-484.641
p103,1975.956,-974.628,-495.435
p104,1892.193,-934.616,-491.972
p105,1932.417,-825.054,-482.287
p106,1874.957,-875.646,-484.1
p107,1928.653,-962.24,-495.482
p108,1911.959,-942.001,-491.883
p109,2054.074,-924.404,-494.839
p110,2004.146,-923.984,-495.752
p111,1905.363,-841.949,-499.532
p112,2044.149,-954.883,-486.574
p113,1987.604,-886.08,-475.952
p114,1870.008,-953.696,-475.004
p115,1888.006,-877.52,-493.596
p116,1875.985,-934.107,-477.997
p117,1941.3,-894.165,-492.814
p118,1869.995,-886.842,-481.016
p119,1926.4,-925.02,-472.296
p120,1942.921,-930.313,-494.109
p121,1896.308,-908.479,-476.929
p122,1875.766,-945.195,-472.013
p123,1866.905,-956.724,-478.973
p124,1904.597,-900.817,-494.508
p125,2012.54,-900.962,-490.798
p126,1974.992,-987.853,-473.97
p127,1867.315,-890.334,-495.553
p128,1906.686,-884.895,-497.574
p129,1915.41,-902.483,-484.837
p130,1865.391,-906.914,-473.911
p131,1991.809,-843.172,-488.569
p132,1967.206,-907.501,-490.461
p133,2039.284,-971.911,-488.383
p134,1993.09,-992.466,-485.481
p135,2000.459,-871.117,-495.073
p136,1904.732,-942.949,-486.409
p137,1975.75,-931.329,-487.758
p138,1974.204,-863.253,-472.68
p139,1936.707,-986.951,-487.622
p140,1949.202,-978.773,-498.69
p141,1948.348,-896.827,-488.587
p142,1930.9,-995.206,-481.305
p143,1914.159,-994.426,-489.27
p144,1993.81,-1007.721,-482.258
p145,1960.345,-891.061,-475.864
p146,1908.243,-975.278,-477.669
p147,1913.683,-879.533,-480.917
p148,2026.499,-953.441,-489.355
p149,1976.053,-994.707,-497.263
p150,1865.767,-938.316,-477.193
p151,1990.127,-839.459,-494.58
p152,1961.258,-948.446,-484.113
p153,1902.502,-904.042,-498.221
p154,1955.774,-1012.606,-492.918
p155,2011.851,-985.593,-466.329
p156,1992.218,-940.73,-482.809
p157,1908.351,-924.738,-492.45
p158,1873.594,-973.897,-500.693
p159,1972.238,-1002.13,-481.316
p160,2007.92,-986.665,-494.349
p161,1918.986,-998.283,-483.784
p162,1991.72,-1001.522,-476.295
p163,1959.939,-900.241,-473.873
p164,2015.226,-857.459,-480.541
p165,1971.795,-964.521,-493.259
p166,1931.73,-891.696,-485.396
p167,1892.686,-881.101,-494.509
p168,1942.962,-1008.943,-497.315
p169,1890.453,-958.762,-491.318
p170,1940.203,-979.445,-488.007
p171,1927.545,-993.256,-497.5
p172,1948.948,-857.97,-478.753
p173,1923.272,-1011.182,-499.451
p174,1979.835,-833.077,-477.926
p175,1953.914,-1018.228,-494.23
p176,1996.063,-1002.656,-482.543
p177,1916.289,-985.009,-488.47
p178,2027.089,-907.596,-478.518
p179,2028.093,-974.871,-496.706
p180,1908.532,-843.937,-491.474
p181,1935.294,-937.214,-478.995
p182,1903.268,-836.599,-484.25
p183,2044.162,-958.342,-484.964
p184,2037.233,-934.697,-481.519
p185,1953.526,-847.58,-478.244
p186,2028.576,-856.726,-490.297
p187,1890.962,-868.117,-485.164
p188,1926.754,-844.621,-483.958
p189,2028.159,-922.162,-486.009
p190,1966.517,-822.051,-486.824
p191,1887.692,-911.774,-474.963
p192,1884.726,-974.364,-486.443
p193,1983.744,-944.356,-471.622
p194,1860.61,-920.788,-491.23
p195,2022.56,-871.038,-475.517
p196,1913.781,-876.069,-486.173
p197,1886.805,-910.02,-478.109
p198,1982.286,-837.743,-481.567
p199,1864.649,-953.501,-471.752
p200,2013.074,-959.608,-471.955
p201,1956.392,-966.836,-484.876
p202,2008.186,-985.098,-486.376
p203,1956.197,-981.779,-477.24
p204,1932.019,-924.362,-491.786
p205,1962.282,-882.499,-475.65
p206,1891.872,-966.498,-497.067
p207,1974.694,-857.01,-486.842
p208,1977.788,-1011.111,-494.918
p209,2019.001,-994.84,-489.79
p210,1981.589,-923.641,-491.854
p211,1926.374,-871.786,-478.36
p212,1931.095,-988.674,-490.179
p213,1880.68,-901.164,-495.48
p214,1884.012,-942.773,-494.107
p215,1996.391,-932.096,-483.061
p216,1923.731,-846.885,-480.031
p217,1928.835,-830.359,-496.877
p218,1991.631,-912.789,-476.187
p219,1943.554,-823.92,-475.926
p220,1979.295,-911.833,-486.333
p221,1881.871,-978.698,-497.764
p222,1977.134,-870.791,-480.105
p223,2017.196,-913.798,-481.787
p224,1978.834,-901.768,-480.516
p225,1980.104,-884.319,-489.628
p226,1913.073,-919.152,-480.088
p227,2024.611,-929.475,-483.525
p228,2015.83,-962.716,-477.017
p229,1879.281,-884.239,-481.585
p230,2026.361,-929.066,-490.119
p231,2004.816,-950.639,-472.323
p232,1996.806,-958.756,-485.963
p233,1946.406,-889.687,-498.692
p234,1860.957,-898.051,-491.227
p235,1969.021,-917.904,-485.364
p236,1938.622,-828.423,-482.603
p237,1926.142,-990.476,-481.761
p238,1970.169,-954.06,-474.686
p239,1922.161,-881.473,-492.102
p240,1993.49,-881.91,-479.514
p241,1994.425,-952.152,-492.294
p242,2018.964,-975.695,-497.387
p243,1875.198,-965.225,-476.677
p244,1856.789,-919.158,-476.503
p245,1998.069,-985.345,-477.149
p246,2027.912,-869.426,-494.282
p247,1959.613,-917.786,-497.616
p248,1999.169,-836.629,-468.554
p249,1892.849,-899.465,-495.993
p250,1949.687,-939.678,-495.884
p251,1986.247,-953.483,-489.394
p252,2041.298,-924.929,-491.984
p253,1927.954,-846.84,-499.067
p254,1897.412,-950.181,-482.49
p255,2024.599,-911.209,-484.546
p256,1981.898,-889.575,-498.186
p257,1912.868,-915.573,-480.869
p258,1980.722,-946.075,-472.063
p259,1943.13,-836.75,-493.871
p260,1938.587,-932.069,-481.746
p261,1953.359,-907.108,-497.554
p262,1896.442,-840.369,-480.617
p263,1956.233,-897.922,-478.764
p264,1916.675,-885.035,-486.773
p265,1905.036,-854.951,-481.497
p266,1975.563,-1011.088,-485.434
p267,2020.947,-859.031,-487.214
p268,1903.715,-930.45,-492.825
p269,2030.721,-967.598,-474.031
p270,1957.547,-930.04,-472.481
p271,1990.541,-935.613,-486.833
p272,1911.582,-854.851,-495.623
p273,1956.093,-953.631,-486.121
p274,2027.508,-861.403,-489.436
p275,2022.328,-987.505,-490.217
p276,1947.565,-955.262,-494.889
p277,1988.125,-839.241,-493.054
p278,1918.398,-911.862,-488.248
p279,1938.097,-994.88,-499.195
p280,1909.895,-970.501,-476.886
p281,2038.431,-921.739,-490.636
p282,2021.908,-930.908,-479.608
p283,1896.36,-993.62,-480.018
p284,1927.252,-918.116,-494.621
p285,1957.311,-858.272,-486.46
p286,2000.203,-1005.292,-495.347
p287,1944.135,-897.49,-496.083
p288,1976.757,-1001.722,-473.651
p289,1988.913,-879.017,-489.836
p290,1958.021,-958.079,-488.997
p291,1917.788,-846.768,-479.501
p292,1992.232,-928.557,-485.945
p293,2033.604,-941.527,-494.502
p294,1920.525,-955.018,-495.58
p295,1926.352,-956.555,-480.343
p296,1958.731,-872.632,-473.156
p297,1933.885,-984.987,-493.096
p298,1965.456,-875.383,-485.248
p299,1950.551,-927.645,-497.187
p300,1975.457,-866.847,-485.71
p301,1973.598,-946.309,-495.528
p302,1983.617,-931.14,-482.803
p303,1928.077,-831.935,-479.814
p304,1991.874,-970.69,-471.488
p305,1951.532,-944.048,-489.222
p306,1987.478,-979.401,-489.628
p307,1988.504,-908.084,-490.643
p308,1945.325,-937.393,-483.824
p309,2012.305,-926.148,-493.064
p310,1974.046,-904.659,-496.029
p311,1999.541,-859.593,-482.583
p312,1948.22,-907.784,-483.314
p313,1996.783,-841.501,-469.146
p314,1928.299,-972.365,-497.823
p315,2038.523,-923.275,-486.512
p316,1899.004,-920.782,-481.492
p317,2041.359,-879.938,-475.869
p318,1876.603,-926.483,-489.619
p319,1894.778,-944.091,-488.957
p320,1912.15,-949.001,-498.565
p321,1898.755,-890.769,-487.917
p322,1879.846,-856.399,-493.826
p323,1944.776,-917.414,-480.796
p324,1949.323,-924.284,-491.875
p325,1936.294,-921.418,-481.527
p326,2002.848,-976.655,-473.984
p327,2027.828,-874.398,-482.606
p328,1938.286,-1016.193,-486.92
p329,2031.306,-938.269,-480.728
p330,1957.659,-865.362,-477.811
p331,1946.31,-884.055,-496.594
p332,2019.004,-900.931,-492.002
p333,1934.92,-922.234,-484.398
p334,1929.312,-949.169,-476.322
p335,1917.77,-939.618,-489.546
p336,1904.045,-879.377,-482.36
p337,2015.631,-921.078,-476.34
p338,1967.151,-823.75,-483.561
p339,2045.796,-913.662,-483.869
p340,1901.831,-956.215,-485.07
p341,1896.979,-975.244,-499.711
p342,1953.249,-853.294,-494.981
p343,1881.097,-936.334,-482.434
p344,2021.362,-850.077,-482.491
p345,1922.545,-924.909,-480.1
p346,1905.16,-921,-494.025
p347,2006.233,-1003.674,-482.221
p348,1876.204,-906.942,-477.97
p349,2013.714,-880.183,-484.419
p350,2024.645,-901.763,-496.251
p351,1902.241,-963.395,-488.416
p352,1981.289,-831.674,-478.148
p353,1877.056,-913.399,-486.867
p354,1884.24,-963.947,-500.117
p355,1976.056,-859.141,-469.936
p356,1905.028,-914.62,-482.76
p357,2043.631,-918.193,-487.699
p358,1974.715,-870.663,-490.356
p359,1873.566,-957.022,-479.861
p360,1965.456,-1017.065,-479.311
p361,2037.642,-872.388,-484.49
p362,1896.345,-846.326,-486.735
p363,1924.963,-966.372,-484.854
p364,1923.386,-876.005,-496.359
p365,1999.026,-980.838,-485.532
p366,1927.17,-956.91,-487.838
p367,1928.374,-964.119,-481.927
p368,1940.084,-823.919,-485.05
p369,1942.952,-926.892,-491.365
p370,1962.163,-879.974,-482.116
p371,1946.871,-949.747,-491.383
p372,1980.756,-973.541,-481.493
p373,1872.149,-865.28,-481.367
p374,1898.924,-979.406,-494
p375,2010.685,-968.819,-492.84
p376,2040.23,-963.803,-487.587
p377,1957.524,-908.073,-491.473
p378,1877.838,-943.133,-486.801
p379,1914.71,-999.144,-498.352
p380,2022.747,-940.463,-478.164
p381,1945.464,-899.31,-482.483
p382,1876.665,-948.22,-475.45
p383,1991.931,-909.539,-493.652
p384,2005.544,-855.858,-488.59
p385,1869.872,-882.385,-491.778
p386,1950.372,-860.736,-488.097
p387,2026.728,-962.036,-471.865
p388,1957.951,-845.144,-489.989
p389,1998.902,-872.402,-492.655
p390,1980.475,-840.864,-472.396
p391,2022.413,-872.267,-482.739
p392,1891.473,-962.288,-475.379
p393,2030.511,-962.157,-477.174
p394,1901.08,-938.354,-471.597
p395,2016.543,-966.666,-478.459
p396,2011.978,-909.058,-493.945
p397,2007.681,-879.706,-486.85
p398,1900.404,-925.495,-473.446
p399,2043.516,-885.214,-478.086
p400,1938.744,-977.275,-499.119
p401,1870.243,-904.093,-482.481
p402,1954.389,-876.898,-494.879
p403,1964.672,-846.783,-473.798
p404,1984.174,-913.143,-496.657
p405,2007.197,-915.312,-478.472
p406,1926.815,-979.304,-482.722
p407,1910.929,-891.464,-492.933
p408,1941.027,-938.576,-486.512
p409,1989.304,-892.859,-487.173
p410,1873.212,-884.192,-496.62
p411,1980.867,-849.21,-482.724
p412,2000.311,-937.993,-490.916
p413,1883.779,-899.865,-491.715
p414,2012.437,-983.867,-493.639
p415,1969.482,-853.037,-494.917
p416,1877.719,-881.355,-490.467
p417,1886.102,-850.961,-479.926
p418,1998.505,-994.657,-490.828
p419,1965.061,-885.803,-473.79
p420,1858.234,-931.904,-468.668
p421,1943.904,-1001.62,-477.857
p422,1944.695,-1011.948,-487.17
p423,2005.677,-912.448,-484.396
p424,1857.672,-937.465,-485.343
p425,1872.461,-907.019,-489.757
p426,2001.29,-875.017,-477.521
p427,2036.24,-868.539,-484.835
p428,1946.839,-1014.788,-490.779
p429,2023.122,-857.516,-497.995
p430,2005.732,-855.439,-480.279
p431,1924.155,-827.158,-482.784
p432,1960.028,-957.939,-493.082
p433,1997.923,-890.116,-483.706
p434,1912.726,-965.684,-480.285
p435,1892.112,-873.502,-498.469
p436,1907.163,-904.996,-479.463
p437,1968.737,-980.204,-475.724
p438,1884.329,-956.749,-476.545
p439,1908.235,-915.777,-484.032
p440,1943.608,-920.657,-474.394
p441,1976.565,-908.122,-479.455
p442,1931.997,-953.665,-477.683
p443,2006.088,-959.587,-488.469
p444,1983.595,-855.774,-486.683
p445,1936.453,-887.058,-492.779
p446,1930.989,-941.106,-484.723
p447,1977.08,-923.609,-477.473
p448,2029.217,-947.721,-491.061
p449,2005.785,-993.865,-482.286
p450,1985.404,-825.858,-475.446
p451,1874.782,-965.047,-499.799
p452,1910.327,-868.171,-489.228
p453,1897.443,-849.739,-496.58
p454,1901.606,-893.654,-499.338
p455,1912.78,-855.869,-497.842
p456,1919.622,-946.198,-487.012
p457,1952.78,-1007.121,-497.545
p458,2007.137,-987.872,-471.381
p459,1978.578,-999.232,-494.94
p460,1972.954,-897.119,-480.499
p461,1946.256,-909.305,-472.715
p462,1963.917,-998.019,-487.881
p463,1864.1,-930.011,-469.932
p464,2033.237,-920.805,-496.932
p465,1969.435,-922.115,-472.929
p466,1995.334,-993.776,-470.882
p467,1977.59,-900.298,-482.589
p468,1951.144,-884.535,-496.341
p469,1873.288,-905.749,-494.846
p470,1971.952,-909.152,-492.521
p471,2016.637,-952.582,-489.26
p472,1958.039,-893.796,-471.546
p473,2005.733,-840.585,-484.821
p474,1939.829,-970.614,-491.07
p475,1884.853,-879.434,-486.287
p476,2003.001,-904.9,-481.187
p477,1981.259,-946.205,-494.438
p478,1987.787,-865.336,-475.682
p479,1885.156,-858.062,-489.459
p480,1862.387,-940.05,-481.755
p481,1943.849,-945.481,-479.201
p482,1998.357,-958.792,-472.546
p483,1938.1,-916.282,-481.453
p484,1895.858,-937.79,-482.196
p485,1904.096,-941.824,-494.41
p486,1894.22,-945.302,-473.813
p487,1979.744,-892.128,-480.061
p488,1943.79,-875.213,-476.775
p489,1915.483,-893.392,-492.069
p490,1960.796,-878.949,-473.106
p491,1995.227,-880.161,-488.868
p492,1949.353,-997.316,-486.277
p493,1978.792,-936.831,-478.204
p494,1902.025,-872.374,-489.754
p495,1942.867,-821.26,-487.018
p496,2019.066,-929.109,-495.621
p497,1982.612,-945.797,-492.397
p498,1941.854,-964.23,-481.815
p499,1900.053,-915.155,-495.095
p500,2001.727,-986.707,-497.246
