target_x,target_y,target_z,theta1,theta2,theta3
-15.7241,88.1504,-224.7038,13.7856,3.6696,-36.2645
-43.9533,20.4487,-213.522,-6.471,-37.5767,-34.9023
-70.0127,-52.7737,-198.4326,-12.2917,-56.9477,-3.3928
50.5258,78.476,-215.021,-14.7327,18.3765,-40.886
26.7503,66.1025,-216.589,-14.7249,3.4606,-42.5454
-71.3957,51.3142,-193.6032,7.7867,-48.4547,-54.3668
-47.4771,48.4568,-238.4117,18.4527,-8.9306,-19.3912
-90.5082,-19.3929,-233.237,22.7879,-27.7455,6.7648
-95.0019,-12.6782,-223.7684,21.5272,-34.2246,-0.9869
-49.2132,29.3344,-215.8722,0.2796,-33.5644,-34.3228
-24.3788,42.1117,-197.4884,-22.3338,-44.0667,-61.433
10.9695,-54.3263,-212.4929,-39.2185,-32.0596,-2.9644
-31.1477,-1.4887,-227.6553,-7.5794,-27.2692,-17.1361
31.3194,80.9237,-191.6462,-29.4055,-2.9646,-65.9009
-38.7405,-78.2142,-218.5649,-13.8779,-35.9316,17.8472
-55.961,63.9705,-211.7668,13.7323,-24.6902,-41.5023
-49.6277,-21.0345,-228.3621,-1.3589,-30.9137,-5.7412
-4.2971,10.7579,-231.9848,-12.1623,-14.8451,-19.8722
57.4617,55.5198,-236.0095,-9.6352,23.4696,-21.3627
-50.5972,-65.3571,-210.1589,-15.3331,-45.5613,7.1671
-73.414,18.0671,-224.2712,14.9359,-29.9872,-18.3369
23.4646,-78.4068,-232.7849,-23.1533,-9.5807,22.6885
10.1611,42.3872,-202.0429,-33.4851,-25.2963,-56.7454
-51.6108,62.705,-194.8013,1.5197,-41.1249,-59.4595
41.2827,74.198,-191.8746,-36.1887,-1.0886,-65.0473
-12.5348,83.2023,-193.218,-8.8539,-20.1987,-64.8307
-31.8867,12.61,-193.1744,-35.0264,-63.9917,-60.856
4.814,-87.4258,-196.5692,-48.7642,-45.2121,9.8365
96.8806,-13.1154,-195.2663,-58.6515,8.194,-22.5108
73.3221,29.0813,-207.6412,-42.1259,8.991,-36.4483
29.4743,-58.7437,-238.2838,-21.1312,-4.2154,15.6427
79.6869,-43.1493,-204.2722,-52.754,-1.3796,-4.1199
-5.621,-75.0038,-199.6053,-44.7685,-47.6519,2.6452
-4.8194,-95.6507,-233.1452,-13.6734,-15.8777,31.7929
-21.048,77.895,-198.0682,-4.5234,-22.0596,-59.7187
52.5709,72.8943,-197.9231,-32.3568,8.2759,-56.1283
63.5764,4.9527,-209.6338,-46.0115,-1.9733,-29.7372
-57.6803,28.1099,-223.8264,8.8525,-27.6281,-25.4734
-3.1816,97.5554,-213.1115,7.9567,5.2622,-45.2039
-26.0788,-73.9484,-222.3464,-17.1831,-31.8544,15.6629
92.8682,15.5509,-225.6784,-29.149,25.7806,-12.0773
29.9599,-17.6781,-203.2114,-54.0726,-31.8716,-32.1449
-10.6829,27.3612,-237.3181,-2.1207,-8.5446,-19.8251
11.3141,4.8504,-216.7941,-31.2626,-23.4241,-30.7341
-12.9937,-57.3609,-198.8932,-45.2775,-53.1941,-10.1776
26.7695,54.5607,-230.106,-9.4444,7.2019,-30.1085
-80.1818,13.7014,-234.6945,22.8906,-22.7746,-7.3779
20.2202,-68.6497,-201.875,-50.4217,-37.3503,0.0506
41.2091,20.3542,-230.6566,-21.9157,3.7125,-21.0001
67.322,32.3332,-209.2588,-39.6973,7.3279,-37.4509
-30.6289,31.9844,-219.2767,-5.6048,-26.8725,-34.9143
48.9176,-5.7228,-205.5843,-51.8038,-16.3616,-32.746
-76.8941,-54.6912,-207.8222,-1.3719,-48.1257,5.5692
15.8113,-0.1395,-210.9035,-39.5217,-28.0472,-34.2611
8.9211,-38.056,-195.7409,-60.2832,-53.0642,-28.222
11.5539,-66.451,-212.8257,-38.129,-30.7625,4.7395
0.779,20.4149,-220.3262,-20.824,-20.4519,-32.8431
16.2744,45.0647,-217.4348,-19.8619,-8.5386,-40.2824
-11.8335,-9.3653,-213.7515,-28.4518,-36.7491,-27.0191
28.4473,-11.3531,-190.9446,-76.2639,-49.0433,-54.7579
-9.0666,-16.4025,-229.7873,-16.7039,-22.1962,-10.9734
-3.5349,-35.8203,-219.1565,-29.0519,-31.1021,-9.2123
67.5737,69.573,-235.3227,-5.9379,31.8632,-21.5013
-78.5589,-26.7198,-238.9933,18.951,-24.0261,10.0906
-62.7834,-5.1603,-228.7259,7.4152,-30.0366,-9.7947
-10.6006,76.4188,-191.3617,-15.6408,-25.8528,-68.4093
-88.3112,17.8762,-233.748,27.2779,-22.6707,-6.9914
65.5096,44.6097,-191.7277,-54.9605,-0.2761,-59.6329
-31.6315,-10.2385,-204.1188,-28.1202,-51.4059,-33.7701
47.3642,12.133,-217.9597,-35.5923,-3.6873,-28.3117
-85.6612,-13.4074,-228.4526,18.4168,-31.3046,-0.658
-60.8646,9.1278,-200.3246,-8.8226,-54.2703,-39.6503
-64.3263,39.8908,-217.2138,12.112,-30.0305,-31.9422
12.0219,-78.7908,-231.4528,-21.7546,-14.5218,21.8417
-38.4924,11.9735,-192.5846,-31.0543,-65.4278,-59.5312
-96.5671,3.7792,-196.0825,11.6915,-54.8542,-27.9634
-75.4047,-38.1506,-235.1764,14.6461,-27.2445,12.0489
-92.0871,21.8258,-195.9569,12.6983,-52.7548,-37.0604
91.4076,12.1754,-210.706,-41.9148,17.3607,-22.6295
10.0254,81.7244,-202.2951,-12.2985,-5.17,-56.1606
23.6491,26.2171,-210.676,-34.8215,-17.2798,-42.8872
-56.0065,-78.783,-216.4767,-6.5054,-38.6074,19.9979
-23.1978,-43.6109,-206.7026,-32.7706,-47.7618,-12.6716
11.4008,-51.3099,-190.7271,-67.3314,-58.3401,-22.6681
-2.9509,-38.3244,-202.1835,-46.8632,-48.4805,-21.4085
-17.6662,86.9954,-235.0535,19.1402,8.7303,-28.4755
51.4911,-61.3692,-211.6346,-45.4609,-13.6105,5.0702
71.4605,-67.2381,-213.3243,-43.5362,-0.5701,13.5173
-21.0722,-77.5517,-222.4263,-18.716,-30.43,17.4656
-53.8696,11.7127,-191.0255,-20.9565,-66.9499,-56.0024
-30.933,-41.2069,-209.5018,-26.29,-46.1862,-11.1483
-41.7132,-23.8846,-208.0292,-20.5165,-48.8096,-20.6025
-24.6283,-64.8317,-211.0623,-27.4912,-42.1114,3.6809
9.2395,41.4013,-235.8727,-5.1065,0.4783,-23.9707
23.1101,-73.6995,-212.7906,-39.9022,-25.6842,9.8506
-1.5484,89.6297,-236.8709,16.2829,15.1347,-27.6642
52.4455,67.8696,-198.2258,-34.8734,6.0105,-56.0784
99.6348,7.316,-200.8739,-50.4141,16.8174,-25.873
37.793,1.0839,-218.788,-35.7769,-10.4107,-25.1172
-64.6203,-52.73,-200.2889,-14.5539,-55.6159,-3.7288
57.9143,-33.154,-214.4171,-44.5519,-7.4848,-8.5363
39.4043,-14.6752,-236.4919,-22.7541,0.5143,-4.5463
-70.7091,-46.7515,-208.3838,-4.8296,-48.5706,-0.6778
72.4781,27.5599,-210.5218,-39.8277,9.6753,-33.6385
14.5281,-38.0791,-190.2929,-72.5922,-60.0699,-34.7393
52.734,-26.5105,-196.4662,-64.4662,-25.639,-29.5349
-67.8673,-19.3374,-213.6827,-0.7889,-43.9601,-12.769
22.3348,14.673,-206.8308,-42.3084,-25.1552,-44.054
-28.0034,-51.0185,-235.5483,-7.3325,-22.8314,10.4198
-24.324,1.598,-217.1176,-17.9756,-34.9021,-27.7478
37.7269,-82.2053,-202.5074,-49.9199,-26.6337,11.4581
-58.2911,-20.6635,-204.3447,-13.1069,-52.8754,-21.7221
-72.8297,-51.2564,-214.5512,0.2806,-43.1667,6.249
-13.5826,-37.1167,-199.5174,-45.7306,-54.8154,-24.2327
-85.7261,-31.6825,-229.3862,17.3015,-31.4676,8.3327
45.8071,57.4664,-194.1731,-44.4758,-5.4885,-62.6495
75.5169,-18.837,-228.0268,-32.4084,12.3264,-2.2346
48.3636,-65.1023,-220.2441,-37.6022,-8.7331,11.5298
-87.3458,-12.2524,-196.3114,2.3619,-57.6956,-23.6497
6.5242,-0.5443,-220.1993,-27.7509,-23.3765,-25.6394
-40.5123,44.862,-207.4332,-4.291,-34.9468,-47.0912
20.5297,-29.8712,-234.0689,-22.5281,-10.1061,-1.4279
20.6044,-48.6255,-222.6822,-32.5552,-19.7925,0.6765
-24.0387,-55.3056,-234.8219,-9.3647,-22.6033,11.8361
-37.9721,61.3738,-216.1474,6.4842,-19.6477,-40.8285
18.1781,14.3375,-226.1093,-22.6184,-10.6851,-25.3805
-77.1049,-56.6633,-233.9317,14.4258,-27.9256,20.5046
67.3471,21.7353,-201.7063,-50.6725,-0.5715,-42.4662
84.2506,-37.2055,-237.6976,-25.9803,20.5665,13.7251
61.0503,18.965,-220.4037,-32.9195,6.737,-25.5566
-56.3121,53.8026,-227.3131,18.0456,-16.6331,-27.5162
-12.5843,-90.1009,-199.1949,-39.7018,-46.5082,13.5291
-22.1443,-85.4483,-206.282,-30.2381,-42.8279,14.4576
-7.5738,-31.3583,-196.2962,-53.4907,-58.4027,-32.429
50.9238,-4.7509,-237.492,-22.1813,7.5261,-6.0528
56.3693,77.1913,-225.0908,-8.8349,25.2147,-31.719
60.1925,44.5907,-227.5654,-19.7914,17.2195,-25.857
0.1021,-24.792,-195.1927,-58.9743,-58.0135,-39.1832
54.3597,-59.2504,-192.287,-65.3962,-28.997,-8.4689
13.562,22.3637,-205.7554,-38.6489,-28.0371,-48.3264
-91.1045,-25.7232,-206.0306,8.6257,-49.0639,-7.7523
23.3271,35.455,-223.4045,-20.2426,-4.6448,-32.7497
49.7756,38.2646,-218.2828,-28.505,5.0096,-34.521
-81.7214,-52.8897,-231.8495,15.7381,-29.5338,18.7763
-74.8936,48.6868,-193.7924,9.0526,-49.0968,-52.5869
5.9971,64.3833,-202.8302,-19.9773,-15.6426,-56.6262
-68.5402,20.3513,-216.9685,8.7843,-35.6819,-26.1836
-59.5242,16.5544,-201.9242,-6.5914,-51.0933,-41.2291
14.6851,51.7234,-213.0516,-20.3239,-9.8399,-45.3502
-77.3885,60.8432,-232.2187,32.1546,-12.0404,-19.7785
83.1364,-19.029,-215.3018,-42.5244,9.5325,-8.7274
55.381,-67.5882,-191.1853,-64.863,-28.6131,-2.5852
46.9579,-20.4124,-206.932,-51.4095,-18.6949,-24.0465
9.2319,15.9602,-223.1452,-22.3198,-16.1595,-28.8765
81.5591,41.5849,-221.9883,-25.8053,24.3052,-24.5285
-10.0148,-81.263,-203.1729,-38.5897,-44.0553,9.1835
-70.3744,60.3606,-218.677,22.9365,-21.6945,-31.7582
-60.8617,-7.4221,-208.7695,-6.3311,-47.6086,-24.0257
-68.8723,55.7932,-238.0833,29.3699,-9.1871,-16.8801
15.2294,51.015,-204.6733,-28.4026,-16.5775,-54.0071
46.384,-73.4103,-190.1784,-64.998,-35.0484,-0.6195
71.4956,-37.1136,-219.3857,-40.1523,3.5089,0.0142
67.3673,58.818,-209.83,-29.3987,16.6102,-40.8764
51.1976,13.9268,-202.9943,-51.2934,-12.3012,-43.2575
-6.5172,60.7816,-194.5632,-24.4957,-30.8853,-66.7482
36.8261,-84.0197,-220.8704,-33.9073,-12.3272,21.3454
-90.84,37.743,-231.2966,31.8459,-19.8654,-12.9279
-40.7623,74.2779,-195.8061,1.955,-31.5621,-59.8733
-62.8707,-61.3211,-230.2318,4.9635,-30.1357,18.1272
50.4159,-3.1243,-238.8123,-20.872,8.3304,-5.7801
8.0716,-59.0512,-211.2835,-39.27,-33.93,-0.8948
-43.7905,17.6822,-227.0261,1.4329,-26.2611,-22.6998
-5.3016,65.7351,-218.9645,-3.0997,-6.968,-41.1237
-7.8189,-39.8253,-203.648,-43.0836,-48.0409,-18.8671
-3.3587,59.3745,-213.8795,-10.073,-12.7847,-45.3515
-40.115,-58.4515,-190.897,-39.9295,-65.7463,-12.1009
-24.6329,82.666,-197.5624,-0.4915,-20.6596,-59.2967
-35.554,2.0664,-226.5115,-5.8393,-28.4846,-18.8737
60.4872,37.4677,-197.7535,-50.358,-2.3624,-52.7916
43.9555,84.7572,-196.1819,-25.4594,8.5869,-58.5449
-25.1835,68.1326,-221.1449,6.7088,-10.0838,-38.2964
3.6656,99.3794,-222.0715,11.4785,13.2759,-38.2124
35.4687,-67.5847,-200.7911,-53.9368,-31.2325,0.1286
-58.7251,-17.7146,-199.9872,-15.8618,-57.4015,-27.2196
16.5837,-25.9952,-195.3051,-64.0258,-50.3758,-37.6542
96.1254,24.8214,-197.6908,-50.5296,17.1193,-36.3327
78.5954,-23.9374,-226.9207,-33.561,12.8769,0.0669
14.1049,84.1643,-214.7588,-3.6314,5.4706,-44.7364
-56.9526,55.3806,-239.9387,25.1186,-6.8822,-17.7275
-29.8568,-35.5053,-194.9392,-42.6537,-63.6878,-28.0059
-76.8538,54.1892,-218.3008,23.9697,-24.4384,-29.5566
-63.2696,-31.3162,-237.2631,10.1175,-25.1994,7.4522
37.5149,-27.4423,-215.9165,-41.4624,-16.9263,-14.026
-16.2884,52.2,-239.5472,8.5451,-0.991,-22.3252
-14.1621,30.9294,-221.0022,-11.6102,-21.5528,-34.5079
-17.1827,-92.0809,-209.3591,-28.2744,-37.7589,20.1215
1.9047,99.8199,-227.7086,15.1201,15.8463,-34.0781
-60.6169,-75.5787,-236.7677,8.3879,-24.2034,27.9608
55.9125,80.5451,-192.1215,-33.942,10.8067,-60.5918
33.7847,-28.0671,-209.001,-48.0335,-24.925,-19.8077
78.2232,17.6144,-199.8968,-52.8173,4.3118,-39.3414
-62.249,11.5879,-229.8063,10.7676,-26.499,-14.9315
-25.9244,79.3216,-219.7588,11.0415,-6.1763,-39.5308
-16.8243,-41.5009,-217.6602,-25.5739,-35.9326,-6.5749
-65.8084,44.0296,-229.113,20.3942,-19.1831,-22.454
-21.1687,-4.1794,-221.2952,-17.1079,-31.2922,-22.1011
2.7529,-87.4196,-225.9556,-22.4578,-20.4274,24.1668
-29.4781,-58.3217,-228.6944,-11.9134,-28.5436,10.4096
91.5254,37.7087,-222.9441,-25.953,28.8399,-20.0938
2.7006,-54.8512,-220.5404,-29.7786,-27.8434,2.213
-35.9746,58.5541,-232.9828,13.9578,-7.7959,-26.7931
42.3322,27.0622,-214.8281,-34.0958,-4.4193,-36.4392
30.5899,72.4117,-218.4056,-11.4398,8.7423,-40.8565
22.6515,15.6514,-201.3911,-49.043,-30.3521,-51.352
69.9993,-4.728,-206.5534,-50.4256,-2.0479,-26.6681
29.9238,67.9901,-234.9438,-1.6711,15.8645,-27.1696
-43.5077,82.3979,-215.121,17.3592,-11.643,-41.0883
28.766,87.4121,-190.4151,-25.2902,-1.2755,-66.3392
-69.1004,-27.5399,-209.4946,-3.6407,-47.8998,-11.192
70.4711,-68.4126,-218.8436,-39.0586,2.4419,16.6988
-60.8159,-67.9863,-214.1541,-6.4742,-42.0831,13.2013
49.4802,-74.7987,-221.8792,-35.4589,-6.4661,18.0263
4.4737,3.7826,-227.1854,-20.2612,-17.3515,-21.4761
-31.6722,-0.3469,-237.5245,-0.0822,-18.557,-9.6692
82.8947,-51.4443,-218.1137,-40.4074,8.9881,9.8147
-20.4331,48.2761,-206.4358,-13.576,-29.8646,-51.2332
-53.248,-82.2027,-199.2995,-20.4659,-52.1943,13.2107
-17.7177,-8.4009,-227.4115,-14.3839,-25.6314,-15.7619
-72.4021,7.094,-217.8618,8.5406,-37.42,-19.9621
40.3228,73.6308,-210.3458,-19.0194,9.1516,-46.6249
-46.2416,-77.2044,-213.9557,-13.6985,-40.4475,16.0289
-28.8568,-33.5155,-222.2025,-16.4823,-34.2259,-6.7538
-7.2245,72.4935,-234.5311,9.7696,5.2931,-28.7421
-9.2797,-83.25,-226.6811,-18.877,-23.677,22.293
25.449,68.5647,-203.0614,-24.2148,-4.693,-55.3959
-32.1924,-43.9385,-193.8955,-42.3907,-64.2636,-22.2509
-90.3952,28.6764,-233.6472,30.4936,-20.4255,-9.3493
-75.996,-64.4729,-200.4438,-6.4816,-53.2092,7.4183
-49.1224,52.3456,-216.8487,8.5317,-24.6598,-37.6237
-29.0689,-27.7661,-194.4291,-43.6862,-65.0625,-34.5334
69.0957,-71.4449,-207.1117,-48.2245,-5.9391,12.4055
57.0033,-20.4248,-238.5007,-23.6004,8.991,1.7124
-90.374,-9.5189,-194.7085,4.0499,-58.5618,-25.2841
52.2711,-33.4881,-234.7979,-26.8353,3.5288,4.2249
91.1562,21.915,-201.0559,-48.7728,14.7274,-34.3754
13.5081,-41.1476,-233.3994,-21.8832,-13.6029,3.1387
-20.7368,30.7816,-212.6554,-15.3305,-30.9072,-41.8868
33.7769,-55.7442,-228.2503,-29.9453,-9.8495,8.9493
52.8272,-61.9143,-198.1594,-58.3911,-24.0446,-2.6614
-88.4575,2.8998,-206.3603,11.3258,-46.8977,-22.2316
-84.3938,-19.0112,-207.0764,5.5642,-48.6917,-12.8806
